text,intent
show dashboard,dashboard
show my dashboard,dashboard
dashboard,dashboard
open dashboard,dashboard
my dashboard,dashboard
employee dashboard,dashboard
display dashboard,dashboard
show overview,dashboard
show summary,dashboard
give dashboard,dashboard

show attendance,attendance
attendance,attendance
attendance today,attendance
did i check in today,attendance
have i checked in,attendance
show my attendance,attendance
attendance status,attendance
am i present today,attendance
show latest attendance,attendance
when did i check in,attendance

show leave summary,leave
leave summary,leave
show my leaves,leave
how many leaves do i have,leave
leave balance,leave
show leave,leave
vacation summary,leave
holiday summary,leave
time off summary,leave
my leave details,leave

show profile,profile
my profile,profile
employee profile,profile
who am i,profile
show employee details,profile
display profile,profile
view profile,profile
profile please,profile
my information,profile
employee information,profile
how many employees are there,employee_count
show employee count,employee_count
total employees,employee_count
how many people work here,employee_count
employee strength,employee_count

show pending leaves,pending_leaves
how many pending leaves,pending_leaves
pending approvals,pending_leaves
leave requests waiting,pending_leaves
show pending requests,pending_leaves

who has not checked in today,missing_attendance
show absent employees,missing_attendance
who is absent today,missing_attendance
employees missing attendance,missing_attendance
who did not check in,missing_attendance
show hr dashboard,hr_dashboard
hr dashboard,hr_dashboard
company summary,hr_dashboard
today summary,hr_dashboard
daily report,hr_dashboard
organization summary,hr_dashboard
how is the company today,executive_brief
company health,executive_brief
executive report,executive_brief
executive brief,executive_brief
daily hr report,executive_brief
daily report,executive_brief
morning report,executive_brief
company performance,executive_brief
business summary,executive_brief
today's hr report,executive_brief
company summary,executive_brief
give me executive report,executive_brief
company insights,company_insights
hr insights,company_insights
ai insights,company_insights
show company insights,company_insights
give me insights,company_insights
